mass_id,name,mass_kg,x_mm,y_mm,z_mm,suggested_scope,note
AST-MASS-200,Command and navigation module,2400.000,12000.000,0.000,0.000,Command,Use as distributed/remote mass only for V0.5 global model
AST-MASS-201,Service and environmental-control module,3000.000,-10000.000,0.000,0.000,Service,Use as distributed/remote mass only for V0.5 global model
AST-MASS-202,Water-shielded storm refuge,2200.000,7000.000,0.000,0.000,Radiation refuge,Use as distributed/remote mass only for V0.5 global model
AST-MASS-203,Logistics and spares module,1800.000,16000.000,0.000,0.000,Logistics,Use as distributed/remote mass only for V0.5 global model
AST-MASS-204,Forward docking assembly,750.000,21400.000,0.000,0.000,Docking,Use as distributed/remote mass only for V0.5 global model
AST-MASS-221,Deployable solar wing 1,900.000,3000.000,15100.000,0.000,Power,Use as distributed/remote mass only for V0.5 global model
AST-MASS-222,Deployable solar wing 2,900.000,3000.000,-15100.000,0.000,Power,Use as distributed/remote mass only for V0.5 global model
AST-MASS-223,Deployable solar wing 3,900.000,3000.000,0.000,15100.000,Power,Use as distributed/remote mass only for V0.5 global model
AST-MASS-224,Deployable solar wing 4,900.000,3000.000,0.000,-15100.000,Power,Use as distributed/remote mass only for V0.5 global model
AST-MASS-230,Deployable radiator panel 1,300.000,-3000.000,6928.203,4000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-231,Deployable radiator panel 2,300.000,-3000.000,0.000,8000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-232,Deployable radiator panel 3,300.000,-3000.000,-6928.203,4000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-233,Deployable radiator panel 4,300.000,-3000.000,-6928.203,-4000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-234,Deployable radiator panel 5,300.000,-3000.000,-0.000,-8000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-235,Deployable radiator panel 6,300.000,-3000.000,6928.203,-4000.000,Thermal,Use as distributed/remote mass only for V0.5 global model
AST-MASS-240,Electric propulsion pod 1,1000.000,-16000.000,4800.000,0.000,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-241,Electric propulsion pod 2,1000.000,-16000.000,2400.000,4156.922,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-242,Electric propulsion pod 3,1000.000,-16000.000,-2400.000,4156.922,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-243,Electric propulsion pod 4,1000.000,-16000.000,-4800.000,0.000,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-244,Electric propulsion pod 5,1000.000,-16000.000,-2400.000,-4156.922,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-245,Electric propulsion pod 6,1000.000,-16000.000,2400.000,-4156.922,Propulsion,Use as distributed/remote mass only for V0.5 global model
AST-MASS-250,Propellant tank 1 dry hardware,650.000,-9000.000,1202.082,1202.082,Propellant storage,Use as distributed/remote mass only for V0.5 global model
AST-MASS-251,Propellant tank 2 dry hardware,650.000,-9000.000,-1202.082,1202.082,Propellant storage,Use as distributed/remote mass only for V0.5 global model
AST-MASS-252,Propellant tank 3 dry hardware,650.000,-9000.000,-1202.082,-1202.082,Propellant storage,Use as distributed/remote mass only for V0.5 global model
AST-MASS-253,Propellant tank 4 dry hardware,650.000,-9000.000,1202.082,-1202.082,Propellant storage,Use as distributed/remote mass only for V0.5 global model
AST-MASS-260,Reaction-control pod 1,175.000,8000.000,2200.000,0.000,RCS,Use as distributed/remote mass only for V0.5 global model
AST-MASS-261,Reaction-control pod 2,175.000,8000.000,0.000,2200.000,RCS,Use as distributed/remote mass only for V0.5 global model
AST-MASS-262,Reaction-control pod 3,175.000,8000.000,-2200.000,0.000,RCS,Use as distributed/remote mass only for V0.5 global model
AST-MASS-263,Reaction-control pod 4,175.000,8000.000,-0.000,-2200.000,RCS,Use as distributed/remote mass only for V0.5 global model
AST-MASS-270,Robotic servicing arm,450.000,18000.000,2500.000,1500.000,Robotics,Use as distributed/remote mass only for V0.5 global model
AST-MASS-271,Docked Skimmer aeroshuttle,5500.000,25500.000,0.000,0.000,Aeroshuttle,Use as distributed/remote mass only for V0.5 global model
AST-MASS-272,"Distributed avionics, harness and data equipment",1200.000,5000.000,-940.000,-560.000,Avionics,Use as distributed/remote mass only for V0.5 global model
