item_id,subsystem,description,mass_kg,x_m,y_m,z_m,maturity,source
AST-MASS-150,Habitation,Ring 2 pressure and protection sector 11,300.000,2.5000,6.0000,-10.3923,Class IV,Parametric allowance
AST-MASS-151,Habitation,Ring 2 pressure and protection sector 12,300.000,2.5000,10.3923,-6.0000,Class IV,Parametric allowance
AST-MASS-152,Ring mechanism,"Ring 2 bearing, drive and rotary interfaces",1800.000,2.5000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-200,Command,Command and navigation module,2400.000,12.0000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-201,Service,Service and environmental-control module,3000.000,-10.0000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-202,Radiation refuge,Water-shielded storm refuge,2200.000,7.0000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-203,Logistics,Logistics and spares module,1800.000,16.0000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-204,Docking,Forward docking assembly,750.000,21.4000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-221,Power,Deployable solar wing 1,900.000,3.0000,15.1000,0.0000,Class IV,Wing mass allowance
AST-MASS-222,Power,Deployable solar wing 2,900.000,3.0000,-15.1000,0.0000,Class IV,Wing mass allowance
AST-MASS-223,Power,Deployable solar wing 3,900.000,3.0000,0.0000,15.1000,Class IV,Wing mass allowance
AST-MASS-224,Power,Deployable solar wing 4,900.000,3.0000,0.0000,-15.1000,Class IV,Wing mass allowance
AST-MASS-230,Thermal,Deployable radiator panel 1,300.000,-3.0000,6.9282,4.0000,Class IV,Panel and boom allowance
AST-MASS-231,Thermal,Deployable radiator panel 2,300.000,-3.0000,0.0000,8.0000,Class IV,Panel and boom allowance
AST-MASS-232,Thermal,Deployable radiator panel 3,300.000,-3.0000,-6.9282,4.0000,Class IV,Panel and boom allowance
AST-MASS-233,Thermal,Deployable radiator panel 4,300.000,-3.0000,-6.9282,-4.0000,Class IV,Panel and boom allowance
AST-MASS-234,Thermal,Deployable radiator panel 5,300.000,-3.0000,-0.0000,-8.0000,Class IV,Panel and boom allowance
AST-MASS-235,Thermal,Deployable radiator panel 6,300.000,-3.0000,6.9282,-4.0000,Class IV,Panel and boom allowance
AST-MASS-240,Propulsion,Electric propulsion pod 1,1000.000,-16.0000,4.8000,0.0000,Class IV,Pod dry-mass allowance
AST-MASS-241,Propulsion,Electric propulsion pod 2,1000.000,-16.0000,2.4000,4.1569,Class IV,Pod dry-mass allowance
AST-MASS-242,Propulsion,Electric propulsion pod 3,1000.000,-16.0000,-2.4000,4.1569,Class IV,Pod dry-mass allowance
AST-MASS-243,Propulsion,Electric propulsion pod 4,1000.000,-16.0000,-4.8000,0.0000,Class IV,Pod dry-mass allowance
AST-MASS-244,Propulsion,Electric propulsion pod 5,1000.000,-16.0000,-2.4000,-4.1569,Class IV,Pod dry-mass allowance
AST-MASS-245,Propulsion,Electric propulsion pod 6,1000.000,-16.0000,2.4000,-4.1569,Class IV,Pod dry-mass allowance
AST-MASS-250,Propellant storage,Propellant tank 1 dry hardware,650.000,-9.0000,1.2021,1.2021,Class IV,Tank dry-mass allowance
AST-MASS-251,Propellant storage,Propellant tank 2 dry hardware,650.000,-9.0000,-1.2021,1.2021,Class IV,Tank dry-mass allowance
AST-MASS-252,Propellant storage,Propellant tank 3 dry hardware,650.000,-9.0000,-1.2021,-1.2021,Class IV,Tank dry-mass allowance
AST-MASS-253,Propellant storage,Propellant tank 4 dry hardware,650.000,-9.0000,1.2021,-1.2021,Class IV,Tank dry-mass allowance
AST-MASS-260,RCS,Reaction-control pod 1,175.000,8.0000,2.2000,0.0000,Class IV,RCS allowance
AST-MASS-261,RCS,Reaction-control pod 2,175.000,8.0000,0.0000,2.2000,Class IV,RCS allowance
AST-MASS-262,RCS,Reaction-control pod 3,175.000,8.0000,-2.2000,0.0000,Class IV,RCS allowance
AST-MASS-263,RCS,Reaction-control pod 4,175.000,8.0000,-0.0000,-2.2000,Class IV,RCS allowance
AST-MASS-270,Robotics,Robotic servicing arm,450.000,18.0000,2.5000,1.5000,Class IV,Arm allowance
AST-MASS-271,Aeroshuttle,Docked Skimmer aeroshuttle,5500.000,25.5000,0.0000,0.0000,Class IV,Concept dry-mass allowance
AST-MASS-272,Avionics,"Distributed avionics, harness and data equipment",1200.000,5.0000,-0.9400,-0.5600,Class IV,Balance allowance
