item_id,subsystem,description,mass_kg,x_m,y_m,z_m,maturity,source
AST-MASS-222,Power,Deployable solar wing 2,900.0,3.0,-15.1,0.0,Class IV,Wing mass allowance
AST-MASS-223,Power,Deployable solar wing 3,900.0,3.0,0.0,15.1,Class IV,Wing mass allowance
AST-MASS-224,Power,Deployable solar wing 4,900.0,3.0,0.0,-15.1,Class IV,Wing mass allowance
AST-MASS-230,Thermal,Deployable radiator panel 1,300.0,-3.0,6.9282,4.0,Class IV,Panel and boom allowance
AST-MASS-231,Thermal,Deployable radiator panel 2,300.0,-3.0,0.0,8.0,Class IV,Panel and boom allowance
AST-MASS-232,Thermal,Deployable radiator panel 3,300.0,-3.0,-6.9282,4.0,Class IV,Panel and boom allowance
AST-MASS-233,Thermal,Deployable radiator panel 4,300.0,-3.0,-6.9282,-4.0,Class IV,Panel and boom allowance
AST-MASS-234,Thermal,Deployable radiator panel 5,300.0,-3.0,-0.0,-8.0,Class IV,Panel and boom allowance
AST-MASS-235,Thermal,Deployable radiator panel 6,300.0,-3.0,6.9282,-4.0,Class IV,Panel and boom allowance
AST-MASS-240,Propulsion,Electric propulsion pod 1,1000.0,-16.0,4.8,0.0,Class IV,Pod dry-mass allowance
AST-MASS-241,Propulsion,Electric propulsion pod 2,1000.0,-16.0,2.4,4.1569,Class IV,Pod dry-mass allowance
AST-MASS-242,Propulsion,Electric propulsion pod 3,1000.0,-16.0,-2.4,4.1569,Class IV,Pod dry-mass allowance
AST-MASS-243,Propulsion,Electric propulsion pod 4,1000.0,-16.0,-4.8,0.0,Class IV,Pod dry-mass allowance
AST-MASS-244,Propulsion,Electric propulsion pod 5,1000.0,-16.0,-2.4,-4.1569,Class IV,Pod dry-mass allowance
AST-MASS-245,Propulsion,Electric propulsion pod 6,1000.0,-16.0,2.4,-4.1569,Class IV,Pod dry-mass allowance
AST-MASS-250,Propellant storage,Propellant tank 1 dry hardware,650.0,-9.0,1.2021,1.2021,Class IV,Tank dry-mass allowance
AST-MASS-251,Propellant storage,Propellant tank 2 dry hardware,650.0,-9.0,-1.2021,1.2021,Class IV,Tank dry-mass allowance
AST-MASS-252,Propellant storage,Propellant tank 3 dry hardware,650.0,-9.0,-1.2021,-1.2021,Class IV,Tank dry-mass allowance
AST-MASS-253,Propellant storage,Propellant tank 4 dry hardware,650.0,-9.0,1.2021,-1.2021,Class IV,Tank dry-mass allowance
AST-MASS-260,RCS,Reaction-control pod 1,175.0,8.0,2.2,0.0,Class IV,RCS allowance
AST-MASS-261,RCS,Reaction-control pod 2,175.0,8.0,0.0,2.2,Class IV,RCS allowance
AST-MASS-262,RCS,Reaction-control pod 3,175.0,8.0,-2.2,0.0,Class IV,RCS allowance
AST-MASS-263,RCS,Reaction-control pod 4,175.0,8.0,-0.0,-2.2,Class IV,RCS allowance
AST-MASS-270,Robotics,Robotic servicing arm,450.0,18.0,2.5,1.5,Class IV,Arm allowance
AST-MASS-271,Aeroshuttle,Docked Skimmer aeroshuttle,5500.0,25.5,0.0,0.0,Class IV,Concept dry-mass allowance
AST-MASS-272,Avionics,"Distributed avionics, harness and data equipment",1200.0,5.0,-0.94,-0.56,Class IV,Balance allowance
